Finchtyp,Finmhfue,sysage,Heating System Type,Heating System,Flue Type,Efficiency,Heating_type,Responsiveness(R),HeatCode_4a,Rd_SAP,Tariff,basicefficiency,winterefficiency,summerefficiency,spaceheatingsystemtype,storageheatertype,mainheatingfuel,fluetype,iscondensing
Storage heaters,Electricity - 7hr tariff,more than 12 years,Storage heaters,ELECTRIC STORAGE SYSTEMS Off-peak tariffs: Old (large volume) storage heaters,,100,5,0,401,rd,0,100,100,100,storage_heater,oldlargevolume,electricity,notapplicable,FALSE
Storage heaters,Electricity - 7hr tariff,3-12 years,Storage heaters,ELECTRIC STORAGE SYSTEMS Off-peak tariffs: Modern (slimline) storage heaters,,100,4,0.25,402,rd,0,100,100,100,storage_heater,slimline,electricity,notapplicable,FALSE
Storage heaters,Electricity - 7hr tariff,less than 3 years,Storage heaters,ELECTRIC STORAGE SYSTEMS Off-peak tariffs: Fan storage heaters,,100,3,0.5,404,rd,0,100,100,100,storage_heater,fan,electricity,notapplicable,FALSE
Storage heaters,Electricity - 7hr tariff,missing,Storage heaters,ELECTRIC STORAGE SYSTEMS Off-peak tariffs: Modern (slimline) storage heaters,,100,4,0.25,402,rd,0,100,100,100,storage_heater,slimline,electricity,notapplicable,FALSE
Storage heaters,Electricity - 10hr tariff,more than 12 years,Storage heaters,ELECTRIC STORAGE SYSTEMS Off-peak tariffs: Old (large volume) storage heaters,,100,5,0,401,rd,0,100,100,100,storage_heater,oldlargevolume,electricity,notapplicable,FALSE
Storage heaters,Electricity - 10hr tariff,3-12 years,Storage heaters,ELECTRIC STORAGE SYSTEMS Off-peak tariffs: Modern (slimline) storage heaters,,100,4,0.25,402,rd,0,100,100,100,storage_heater,slimline,electricity,notapplicable,FALSE
Storage heaters,Electricity - 10hr tariff,less than 3 years,Storage heaters,ELECTRIC STORAGE SYSTEMS Off-peak tariffs: Fan storage heaters,,100,3,0.5,404,rd,0,100,100,100,storage_heater,fan,electricity,notapplicable,FALSE
Storage heaters,Electricity - 10hr tariff,missing,Storage heaters,ELECTRIC STORAGE SYSTEMS Off-peak tariffs: Modern (slimline) storage heaters,,100,4,0.25,402,rd,0,100,100,100,storage_heater,slimline,electricity,notapplicable,FALSE
Storage heaters,Electricity - 24hr tariff,more than 12 years,Storage heaters,ELECTRIC STORAGE SYSTEMS 24h tariffs: Modern (slimline) storage heaters,,100,3,0.5,402,rd,24,100,100,100,storage_heater,slimline,electricity,notapplicable,FALSE
Storage heaters,Electricity - 24hr tariff,3-12 years,Storage heaters,ELECTRIC STORAGE SYSTEMS 24h tariffs: Modern (slimline) storage heaters,,100,3,0.5,402,rd,24,100,100,100,storage_heater,slimline,electricity,notapplicable,FALSE
Storage heaters,Electricity - 24hr tariff,less than 3 years,Storage heaters,ELECTRIC STORAGE SYSTEMS 24h tariffs: Fan storage heaters,,100,3,0.5,404,rd,24,100,100,100,storage_heater,fan,electricity,notapplicable,FALSE
Storage heaters,Electricity - 24hr tariff,missing,Storage heaters,ELECTRIC STORAGE SYSTEMS 24h tariffs: Modern (slimline) storage heaters,,100,3,0.5,402,rd,24,100,100,100,storage_heater,slimline,electricity,notapplicable,FALSE
