Finchtyp,Finmhfue,sysage,Heating System,Flue,Efficiency,Heating_type,Responsiveness(R),HeatCode_4a,Rd_SAP,Tariff,basicefficiency,winterefficiency,summerefficiency,spaceheatingsystemtype,fluetype,mainheatingfuel,iscondensing,installationyear,storageheatertype
Warm air,Gas - Mains,more than 12 years,"Gas-fired warm air with fan-assisted flue, Ducted, on-off control, pre 1998",,70,1,1,501,,0,70,70,70,warm_air,notapplicable,mains_gas,FALSE,,
Warm air,Gas - Mains,missing,"Gas-fired warm air with fan-assisted flue, Ducted, on-off control, pre 1998",,70,1,1,501,,0,70,70,70,warm_air,notapplicable,mains_gas,FALSE,,
Warm air,Gas - Mains,less than 3 years,"Gas-fired warm air with fan-assisted flue, Ducted, on-off control, 1998 or later",,76,1,1,502,rd,0,76,76,76,warm_air,notapplicable,mains_gas,FALSE,,
Warm air,Gas - Mains,3-12 years,"Gas-fired warm air with fan-assisted flue, Ducted, on-off control, pre 1998",,70,1,1,501,,0,70,70,70,warm_air,notapplicable,mains_gas,FALSE,,
Warm air,Gas - bottled,more than 12 years,"Gas-fired warm air with fan-assisted flue, Ducted, on-off control, pre 1998",,70,1,1,501,,0,70,70,70,warm_air,notapplicable,bottled_lpg,FALSE,,
Warm air,Gas - bottled,missing,"Gas-fired warm air with fan-assisted flue, Ducted, on-off control, pre 1998",,70,1,1,501,,0,70,70,70,warm_air,notapplicable,bottled_lpg,FALSE,,
Warm air,Gas - bottled,less than 3 years,"Gas-fired warm air with fan-assisted flue, Ducted, on-off control, 1998 or later",,76,1,1,502,rd,0,76,76,76,warm_air,notapplicable,bottled_lpg,FALSE,,
Warm air,Gas - bottled,3-12 years,"Gas-fired warm air with fan-assisted flue, Ducted, on-off control, pre 1998",,70,1,1,501,,0,70,70,70,warm_air,notapplicable,bottled_lpg,FALSE,,
Warm air,Gas - Bulk/LPG,more than 12 years,"Gas-fired warm air with fan-assisted flue, Ducted, on-off control, pre 1998",,70,1,1,501,,0,70,70,70,warm_air,notapplicable,bulk_lpg,FALSE,,
Warm air,Gas - Bulk/LPG,missing,"Gas-fired warm air with fan-assisted flue, Ducted, on-off control, pre 1998",,70,1,1,501,,0,70,70,70,warm_air,notapplicable,bulk_lpg,FALSE,,
Warm air,Gas - Bulk/LPG,less than 3 years,"Gas-fired warm air with fan-assisted flue, Ducted, on-off control, 1998 or later",,76,1,1,502,rd,0,76,76,76,warm_air,notapplicable,bulk_lpg,FALSE,,
Warm air,Gas - Bulk/LPG,3-12 years,"Gas-fired warm air with fan-assisted flue, Ducted, on-off control, pre 1998",,70,1,1,501,,0,70,70,70,warm_air,notapplicable,bulk_lpg,FALSE,,
Warm air,Oil,less than 3 years,"Oil-fired warm air, Ducted output (modulating control)",,72,1,1,513,,0,72,72,72,warm_air,openflue,oil,FALSE,,
Warm air,Oil,3-12 years,"Oil-fired warm air, Ducted output (on/off control)",,70,1,1,512,rd,0,70,70,70,warm_air,openflue,oil,FALSE,,
Warm air,Oil,more than 12 years,"Oil-fired warm air, Ducted output (on/off control)",,70,1,1,512,rd,0,70,70,70,warm_air,openflue,oil,FALSE,,
Warm air,Oil,missing,"Oil-fired warm air, Ducted output (on/off control)",,70,1,1,512,rd,0,70,70,70,warm_air,openflue,oil,FALSE,,
Warm air,Electricity - standard,less than 3 years,Electricaire system,,100,2,0.75,515,rd,0,100,100,100,warm_air,notapplicable,electricity,FALSE,,
Warm air,Electricity - 7hr tariff,3-12 years,Electricaire system,,100,2,0.75,515,rd,0,100,100,100,warm_air,notapplicable,electricity,FALSE,,
Warm air,Electricity - 10hr tariff,more than 12 years,Electricaire system,,100,2,0.75,515,rd,0,100,100,100,warm_air,notapplicable,electricity,FALSE,,
Warm air,Electricity - 24hr tariff,missing,Electricaire system,,100,2,0.75,515,rd,0,100,100,100,warm_air,notapplicable,electricity,FALSE,,
