M2,M5,M15,M6,Heating System Type,Heating System,Flue,Efficiency,Heating_type,Responsiveness(R),HeatCode_4a,Rd_SAP,Tariff,spaceheatingsystemtype,fluetype,mainheatingfuel,basicefficiency,iscondensing,installationyear
Room heater,Oil,Not applicable,old system,Room heater,"Oil Room heater, pre 2000",OF,55,1,1,621,rd,0,room_heater,openflue,oil,55,FALSE,1985
Room heater,Oil,Not applicable,pre 1998,Room heater,"Oil Room heater, pre 2000",OF,55,1,1,621,rd,0,room_heater,openflue,oil,55,FALSE,1995
Room heater,Oil,Not applicable,1998+,Room heater,"Oil Room heater, 2000 or later",OF,60,1,1,623,rd,0,room_heater,openflue,oil,60,FALSE,2005
Room heater,Oil,Not applicable,Not applicable,Room heater,"Oil Room heater, pre 2000",OF,55,1,1,621,rd,0,room_heater,openflue,oil,55,FALSE,1995
Room heater,Oil,Not applicable,Other,Room heater,"Oil Room heater, pre 2000",OF,55,1,1,621,rd,0,room_heater,openflue,oil,55,FALSE,1995
Room heater (bb no rads),Oil,Not applicable,old system,Room heater,"Oil Room heater, pre 2000",OF,55,1,1,621,rd,0,room_heater,openflue,oil,55,FALSE,1985
Room heater (bb no rads),Oil,Not applicable,pre 1998,Room heater,"Oil Room heater, pre 2000",OF,55,1,1,621,rd,0,room_heater,openflue,oil,55,FALSE,1995
Room heater (bb no rads),Oil,Not applicable,1998+,Room heater,"Oil Room heater, 2000 or later",OF,60,1,1,623,rd,0,room_heater,openflue,oil,60,FALSE,2005
Room heater (bb no rads),Oil,Not applicable,Not applicable,Room heater,"Oil Room heater, pre 2000",OF,55,1,1,621,rd,0,room_heater,openflue,oil,55,FALSE,1995
Room heater (bb no rads),Oil,Not applicable,Other,Room heater,"Oil Room heater, pre 2000",OF,55,1,1,621,rd,0,room_heater,openflue,oil,55,FALSE,1995
